iccs,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,NR,AL	61 	52 	58 	51 	52 	71 	54 	98 	107 	125 	124 	118 	82 	88 
ICCS0101,NR,AT	59 	54 	74 	73 	61 	49 	42 	43 	63 	88 	80 	61 	51 	58 
ICCS0101,NR,BA	31 	42 	37 	36 	34 	42 	56 	49 	46 	60 	49 	54 	67 	66 
ICCS0101,NR,BE	146 	145 	146 	192 	198 	175 	231 	210 	204 	206 	214 	189 	189 	204 
ICCS0101,NR,BG	88 	66 	80 	92 	95 	79 	126 	112 	109 	141 	128 	148 	150 	172 
ICCS0101,NR,CH	42 	47 	46 	50 	45 	45 	57 	41 	57 	45 	46 	53 	51 	54 
ICCS0101,NR,CY	14 	15 	13 	14 	7 	11 	12 	10 	11 	19 	8 	7 	19 	9 
ICCS0101,NR,CZ	46 	57 	81 	55 	40 	65 	88 	81 	90 	95 	83 	105 	105 	113 
ICCS0101,NR,DE	631 	719 	586 	632 	738 	747 	655 	645 	623 	619 	689 	699 	721 	656 
ICCS0101,NR,DK	42 	51 	53 	54 	61 	53 	52 	62 	41 	43 	49 	49 	56 	53 
ICCS0101,NR,EE	18 	37 	23 	25 	29 	33 	50 	41 	52 	63 	65 	70 	70 	84 
ICCS0101,NR,EL	89 	73 	76 	94 	78 	81 	86 	105 	141 	165 	184 	176 	143 	139 
ICCS0101,NR,ES	290 	298 	331 	289 	307 	294 	302 	323 	302 	364 	385 	401 	412 	407 
ICCS0101,NR,FI	94 	95 	83 	95 	74 	96 	116 	112 	107 	107 	134 	133 	138 	160 
ICCS0101,NR,FR	734 	692 	753 	696 	710 	779 	880 	765 	802 	814 	874 	797 	804 	975 
ICCS0101,NR,HR	33 	40 	33 	24 	46 	44 	37 	36 	46 	51 	49 	62 	49 	71 
ICCS0101,NR,HU	67 	77 	58 	83 	85 	91 	202 	129 	138 	113 	142 	133 	139 	147 
ICCS0101,NR,IE	22 	33 	33 	39 	39 	34 	30 	53 	51 	52 	42 	55 	53 	51 
ICCS0101,NR,IS	2 	3 	1 	2 	3 	1 	3 	2 	1 	1 	3 	2 	1 	0 
ICCS0101,NR,IT	303 	285 	317 	359 	376 	404 	471 	487 	506 	530 	552 	529 	590 	615 
ICCS0101,NR,LI	: 	1 	0 	1 	1 	0 	0 	1 	0 	0 	0 	1 	0 	1 
ICCS0101,NR,LT	70 	99 	84 	97 	113 	142 	168 	155 	172 	181 	189 	199 	240 	286 
ICCS0101,NR,LU	3 	2 	4 	3 	2 	5 	5 	4 	2 	3 	4 	8 	5 	7 
ICCS0101,NR,LV	98 	93 	91 	101 	109 	111 	81 	77 	69 	97 	69 	70 	108 	99 
ICCS0101,NR,ME	14 	16 	21 	13 	11 	24 	17 	19 	9 	15 	19 	13 	10 	22 
ICCS0101,NR,MK	: 	: 	: 	: 	25 	17 	21 	25 	20 	28 	27 	39 	35 	35 
