,,,,,,,
period,mobile_median_download_mbps,mobile_median_upload_mbps,mobile_median_latency_ms,fixed_median_download_mbps,fixed_median_upload_mbps,fixed_median_latency_ms,County
2023-10-01,45.18,11.11,24,98.67,36.34,9,Carlow
2023-09-01,83.34,12.94,23,110.57,45.65,8,Carlow
2023-08-01,49.67,13.66,23,116.37,43.23,9,Carlow
2023-07-01,24.59,5.89,25,90.41,40.72,9,Carlow
2023-06-01,36.6,7.13,23,92.11,42.71,9,Carlow
2023-05-01,31.54,8.68,23,76.92,30.79,10,Carlow
2023-04-01,21.91,7.68,24,82.89,34.18,9,Carlow
2023-03-01,28.58,8.52,24,82.57,30.51,10,Carlow
2023-02-01,26.77,7.42,23,76.56,26.94,10,Carlow
2023-01-01,23.16,7.15,24,76,26.01,10,Carlow
2022-12-01,23.49,6.98,24,73.6,25.27,10,Carlow
2022-11-01,26.02,7.91,23,72.68,24.57,10,Carlow
2022-10-01,23.86,7.33,23,69.93,23.72,10,Carlow
2023-10-01,13.93,5,24,61.05,24.17,10,Cavan
2023-09-01,16.05,4.75,25,65.9,26.6,9,Cavan
2023-08-01,23.02,7.19,24,57.7,21.47,10,Cavan
2023-07-01,16.07,6.15,25,56.51,19.09,10,Cavan
2023-06-01,20.71,6.06,26,58.54,18.87,10,Cavan
2023-05-01,19.78,6.74,25,55.28,18.88,10,Cavan
2023-04-01,17.24,6.25,26,56.12,19.04,10,Cavan
2023-03-01,16.37,6.32,25,51.1,19.03,10,Cavan
2023-02-01,14.23,6.22,25,47.92,18.64,11,Cavan
2023-01-01,13.41,5.88,26,44.48,18.54,11,Cavan
2022-12-01,11.99,5.2,26,48.11,18.75,11,Cavan
2022-11-01,12.78,6.03,26,52.11,18.34,11,Cavan
2022-10-01,13.4,5.82,25,48.5,18.6,10,Cavan
2023-10-01,23.77,7.38,26,100.62,45.9,10,Claire
2023-09-01,19.32,6.62,25,88.08,42.73,11,Claire
2023-08-01,21.2,7.83,28,83.63,38.95,10,Claire
2023-07-01,15.72,7.27,28,75.56,33.13,10,Claire
2023-06-01,25.74,7.16,27,76.72,33.7,11,Claire
2023-05-01,27.87,7.68,25,74.99,30.62,11,Claire
2023-04-01,26.52,7.96,26,76.5,33.47,10,Claire
2023-03-01,23.4,7.58,25,75.68,33.74,10,Claire
2023-02-01,21.44,8.33,25,77.28,33.81,10,Claire
2023-01-01,20.09,7.15,25,76.36,29.09,10,Claire
2022-12-01,20.18,8.06,26,74.54,28.72,10,Claire
2022-11-01,19.73,6.58,26,61.82,20.9,11,Claire
2022-10-01,18.75,7.47,25,60.44,21.44,11,Claire
2023-10-01,45.85,9.58,24,89.91,36.69,11,Cork
