,,,,,,
service,provider_name,provider_id,period,p25_download_mbps,p75_download_mbps,County
fixed,Aptus Broadband,89560,2023-10-01,44.08,218.66,Carlow
fixed,Imagine,1403,2023-10-01,16.43,76.28,Carlow
fixed,Sky,126995,2023-10-01,60.05,319.54,Carlow
fixed,Virgin Media,28333,2023-10-01,85.1,426.48,Carlow
fixed,Vodafone,3509,2023-10-01,58.01,353.01,Carlow
fixed,eir,652,2023-10-01,41.66,384,Carlow
fixed,3,34690,2023-10-01,7.04,39.85,Cavan
fixed,Arden Broadband,90073,2023-10-01,15.62,37.63,Cavan
fixed,IMS,26726,2023-10-01,37.35,212.64,Cavan
fixed,Imagine,1403,2023-10-01,13.76,62.68,Cavan
fixed,Net1,8223,2023-10-01,8.83,42.05,Cavan
fixed,Sky,126995,2023-10-01,41.44,252.3,Cavan
fixed,Vodafone,3509,2023-10-01,41.6,281.07,Cavan
fixed,eir,652,2023-10-01,38.75,309.88,Cavan
fixed,BBnet,102570,2023-10-01,11.5,54.64,Claire
fixed,Digiweb,45274,2023-10-01,26.69,318.99,Claire
fixed,Imagine,1403,2023-10-01,26.22,69.99,Claire
fixed,Sky,126995,2023-10-01,52.14,312.92,Claire
fixed,Virgin Media,28333,2023-10-01,89.56,374.52,Claire
fixed,Vodafone,3509,2023-10-01,59.68,321.15,Claire
fixed,eir,652,2023-10-01,42.99,284.31,Claire
fixed,Digiweb,45274,2023-10-01,47.6,331.5,Cork
fixed,Imagine,1403,2023-10-01,19.46,70.36,Cork
fixed,Rapid Broadband,15546,2023-10-01,11.76,29.58,Cork
fixed,Sky,126995,2023-10-01,52.33,292.14,Cork
fixed,Virgin Media,28333,2023-10-01,67.25,365.67,Cork
fixed,Vodafone,3509,2023-10-01,46.61,287.17,Cork
fixed,eir,652,2023-10-01,37.02,264.53,Cork
fixed,Broadband Northern Ireland,235319,2023-10-01,11.72,48.92,Donegal
fixed,Digiweb,45274,2023-10-01,65.3,404.63,Donegal
fixed,Imagine,1403,2023-10-01,17.79,75.92,Donegal
fixed,Sky,126995,2023-10-01,39.37,265.15,Donegal
fixed,Vodafone,3509,2023-10-01,44.14,275.95,Donegal
fixed,eir,652,2023-10-01,31.75,252.73,Donegal
fixed,Sky,126995,2023-10-01,45.14,275.94,Dublin
fixed,Virgin Media,28333,2023-10-01,77.3,366.62,Dublin
fixed,Vodafone,3509,2023-10-01,38.81,294.92,Dublin
fixed,eir,652,2023-10-01,34.36,223.78,Dublin
fixed,Digiweb,45274,2023-10-01,70.3,368.39,Galway
fixed,Lightnet,39297,2023-10-01,18.77,58.14,Galway
fixed,Sky,126995,2023-10-01,53.22,347.5,Galway
fixed,Virgin Media,28333,2023-10-01,41.78,358.18,Galway
fixed,Vodafone,3509,2023-10-01,45.88,345.61,Galway
fixed,eir,652,2023-10-01,40.55,282.84,Galway
fixed,Digiweb,45274,2023-10-01,36.53,204.23,Kerry
fixed,Ivertec Broadband,114875,2023-10-01,26.02,80.57,Kerry
fixed,SCC Broadband,139012,2023-10-01,5.6,26.23,Kerry
fixed,Sky,126995,2023-10-01,60.1,296.44,Kerry
fixed,Vodafone,3509,2023-10-01,48.82,292.71,Kerry
fixed,eir,652,2023-10-01,40.82,251.58,Kerry
fixed,Digiweb,45274,2023-10-01,25.57,361.81,Kildare
fixed,Sky,126995,2023-10-01,63.41,291.15,Kildare
fixed,Virgin Media,28333,2023-10-01,87.36,387.8,Kildare
fixed,Vodafone,3509,2023-10-01,51.36,324.05,Kildare
fixed,eir,652,2023-10-01,44.37,287,Kildare
fixed,3,34690,2023-10-01,6.29,30.08,Kilkenny
fixed,Aptus Broadband,89560,2023-10-01,37.26,94.62,Kilkenny
fixed,Digiweb,45274,2023-10-01,44.76,182.45,Kilkenny
fixed,Imagine,1403,2023-10-01,19.86,79.68,Kilkenny
fixed,Sky,126995,2023-10-01,36.74,233.86,Kilkenny
fixed,Virgin Media,28333,2023-10-01,47.13,327.25,Kilkenny
fixed,Vodafone,3509,2023-10-01,39.75,300.53,Kilkenny
fixed,eir,652,2023-10-01,34.89,206.99,Kilkenny
